섬코드,섬이름,시군구,confidence,geom_source,area_km2,섬이름_c,cluster,bottleneck_type,Y_time_emergency,sea_leg_min,land_leg_emergency_min,dist_main_km,인구밀도(명/㎢),2024년 총인구,pop,cx,cy
468901019,어룡도,완도군,high,shp,0.3345274213024019,어룡도,1,육지지배형,69.15635010859027,8.832350108590267,60.324000000000005,4.416175054295134,94.3,32,32,905522.8086732525,1588471.9328666893
468901020,대장구도,완도군,high,shp,0.1768018821288668,대장구도,1,육지지배형,75.05742251380808,14.733422513808078,60.324000000000005,7.366711256904039,22.6,4,4,903471.320144676,1585896.869582152
468901021,후장구도,완도군,high,shp,0.11233085070308986,후장구도,1,육지지배형,81.81536100460374,21.914361004603748,59.901,10.957180502301874,115.8,13,13,907099.683181742,1578755.462920899
468901022,서넙도,완도군,high,shp,1.0491256205174055,서넙도,1,육지지배형,84.83151696669037,24.93051696669038,59.901,12.46525848334519,152.6,161,161,906000.0327449605,1577531.6192506088
468901023,죽굴도,완도군,high,shp,0.21472342993289015,죽굴도,1,육지지배형,83.81156500245108,23.48756500245107,60.324000000000005,11.743782501225535,14.0,3,3,900554.4847841145,1582445.2804742064
468901024,사후도,완도군,high,shp,0.692585291356926,사후도,0,육지지배형,20.778960555807945,4.568460555807945,16.2105,2.2842302779039727,81.9,57,57,930040.9313842861,1600634.4638822642
468901025,고마도,완도군,high,shp,1.2568472297690432,고마도,0,육지지배형,23.332887870868017,4.642887870868016,18.69,2.321443935434008,68.9,87,87,927905.8634535574,1602377.0274025155
468901026,토도,완도군,high,shp,0.10901480998418707,토도,0,육지지배형,35.0895,0.0,35.0895,1.055381311349065,312.5,34,34,925301.25320429,1603343.254559217
468901027,달도,완도군,high,shp,0.8076198185147885,달도,0,육지지배형,29.3235,0.0,29.3235,1.3430886186166968,146.5,167,167,920516.7121351768,1600647.2581719956
468901028,흑일도,완도군,high,shp,1.9286705465622702,흑일도,1,육지지배형,62.98533952858101,6.448839528581005,56.5365,3.2244197642905026,38.3,74,74,913132.7003226364,1587648.754611972
468901029,백일도,완도군,high,shp,1.0079418929487534,백일도,0,육지지배형,52.90713916832668,4.911639168326678,47.9955,2.455819584163339,101.2,102,102,915798.8226305553,1589485.8640849506
468901030,서화도,완도군,high,shp,0.10867355985450629,서화도,0,육지지배형,57.54277188028857,3.031271880288568,54.5115,1.515635940144284,333.3,37,37,908236.8719554647,1591837.1540239912
468901031,동화도,완도군,high,shp,0.38943988079640135,동화도,0,육지지배형,53.259076328933176,6.528076328933175,46.731,3.2640381644665872,41.1,16,16,918024.3373042009,1588579.1409873005
468901032,양도,완도군,high,shp,0.07019227082790853,양도,1,육지지배형,62.29788253863235,1.9738825386323435,60.324000000000005,0.9869412693161717,42.7,3,3,908830.9165304981,1590109.6368239874
468901033,신지도,완도군,high,shp,30.739558690294796,신지도,0,육지지배형,34.065,0.0,34.065,5.556629806055384,101.4,3129,3129,939191.429269414,1593273.7014569845
468901034,모황도,완도군,high,shp,0.13127471278960726,모황도,1,육지지배형,69.88711056551038,23.580610565510387,46.3065,11.790305282755194,15.2,2,2,944553.0125340228,1588272.3017434275
468901035,고금도,완도군,high,shp,42.147585719643146,고금도,0,육지지배형,31.701,0.0,31.701,2.495067871307052,84.6,3820,3820,936016.2742948572,1601361.6803302267
468901036,넙도(고금면),완도군,high,shp,0.12920874133025118,넙도(고금면),0,육지지배형,54.15108091045747,2.6020809104574742,51.549,1.3010404552287371,214.0,29,29,940699.7327034617,1603982.1166286708
468901037,초완도,완도군,high,shp,0.4130711592671889,초완도,1,육지지배형,55.32674014894843,1.839740148948432,53.487,0.919870074474216,21.8,9,9,942460.4621944036,1603277.992576915
468901038,조약도,완도군,high,shp,27.749858039607343,조약도,0,육지지배형,46.3065,0.0,46.3065,2.271643357525561,76.3,2172,2172,945235.6085562134,1598699.9568318448
468901039,청산도,완도군,high,shp,32.33774795181974,청산도,0,해상지배형,46.32703132852944,41.64103132852944,4.686,20.82051566426472,55.6,1810,1810,943563.8772473506,1576644.00708284
468901040,장도(청산면),완도군,high,shp,0.14918750854214696,장도(청산면),0,해상지배형,37.762626065967225,33.076626065967226,4.686,16.538313032983613,127.5,19,19,940047.0011441363,1579159.2035656646
468901041,대모도,완도군,medium,shp,1.9504680627043138,대모도,0,해상지배형,30.59425388756386,25.90825388756386,4.686,12.95412694378193,46.3,190,190,931847.1053568599,1578305.3128634237
468901042,소모도,완도군,high,shp,0.36630081408844567,소모도,0,해상지배형,25.464502627115635,20.778502627115635,4.686,10.389251313557818,71.0,26,26,933111.6186487316,1581568.4311269496
468901043,여서도,완도군,high,shp,3.9459523863232677,여서도,1,해상지배형,86.7515916393674,82.06559163936741,4.686,41.032795819683706,23.8,97,97,946723.2139489579,1554110.8037864382
468901044,소안도,완도군,high,shp,22.902876578638228,소안도,0,해상지배형,40.39962175975331,35.71362175975331,4.686,17.856810879876654,90.0,2074,2074,922187.4725782137,1573953.8261482036
468901045,당사도,완도군,high,shp,1.3931939237416986,당사도,1,혼합형,103.56124470157368,43.66024470157369,59.901,21.830122350786844,21.8,31,31,916472.1680492162,1568325.4004430757
468901046,횡간도,완도군,high,shp,3.291998291099874,횡간도,1,육지지배형,63.34970684535544,16.61870684535544,46.731,8.30935342267772,30.3,100,100,917875.9823621854,1583464.2592132508
468901047,구도,완도군,high,shp,0.26717704810910625,구도,1,육지지배형,71.84296771982162,25.111967719821617,46.731,12.555983859910809,209.5,58,58,920305.7438105235,1579571.5288129097
468901048,금당도,완도군,high,shp,12.772200866546438,금당도,0,육지지배형,33.5361619996411,9.894661999641103,23.6415,4.947330999820553,63.0,813,813,958882.6462419772,1604864.0251606016
468901049,비견도,완도군,high,shp,0.6562015301724855,비견도,0,육지지배형,31.041887072985627,7.40038707298563,23.6415,3.700193536492815,50.8,35,35,961492.0237144878,1602818.622286097
468901050,허우도,완도군,high,shp,0.12311635801645122,허우도,0,육지지배형,27.925356975272805,5.810856975272807,22.1145,2.9054284876364034,81.6,10,10,964839.6614515914,1601990.8699878312
468901051,보길도,완도군,high,shp,32.33364897478485,보길도,1,육지지배형,91.23044213818284,31.329442138182845,59.901,15.664721069091424,73.4,2427,2427,912147.940739185,1573700.681457923
468901052,예작도,완도군,high,shp,0.2926588525449425,예작도,1,육지지배형,96.57563983478109,36.67463983478109,59.901,18.337319917390545,147.1,43,43,914148.5770662446,1571331.8974606327
468901053,생일도,완도군,high,shp,13.78792455922801,생일도,1,육지지배형,64.43069575311418,18.124195753114183,46.3065,9.062097876557091,45.5,631,631,952457.1125545746,1592333.289356575
468901054,덕우도,완도군,high,shp,0.7421232219538503,덕우도,1,혼합형,81.43904343209795,35.13254343209795,46.3065,17.566271716048973,144.3,108,108,955316.0711555533,1584145.1162094807
469001001,진도,진도군,high,shp,363.0022972210304,진도,0,육지지배형,10.038,0.0,10.038,2.198261976412142,67.4,25242,25242,884594.771204364,1607988.9497188972
469001002,저도,진도군,high,shp,0.1664053086907045,저도,0,육지지배형,24.97031761120896,8.641317611208958,16.329,4.320658805604479,210.7,35,35,877512.4891476993,1613611.2263097635
469001003,금호도,진도군,high,shp,0.5667377468536023,금호도,0,육지지배형,37.72306139398047,6.304061393980461,31.419000000000004,3.1520306969902303,105.9,60,60,896058.4777505132,1602703.4181052048
469001004,모도(의신면),진도군,high,shp,0.23458237141301733,모도(의신면),0,육지지배형,31.89463157137353,5.289131571373533,26.6055,2.6445657856867664,313.2,73,73,894749.0134034605,1602115.2515265227
469001005,접도,진도군,high,buffer,4.437563558725153,접도,0,육지지배형,31.3335,0.0,31.3335,1.1975360873358485,67.3,299,299,889134.2430791468,1599057.5932500043
469001006,상구자도,진도군,high,shp,0.05691895482014675,상구자도,0,육지지배형,41.28177715662077,9.948277156620772,31.3335,4.974138578310386,387.3,22,22,889590.6488853447,1593459.93578723
469001007,하구자도,진도군,high,shp,0.13720752321370433,하구자도,0,육지지배형,42.34881407968908,11.01531407968908,31.3335,5.50765703984454,135.6,19,19,889365.3701705374,1592856.4635487257
469001008,죽도(임회면),진도군,high,shp,0.04348843244180071,죽도(임회면),0,육지지배형,33.659435185073086,5.687435185073084,27.972,2.843717592536542,137.9,6,6,881713.878398801,1595693.3251640513
469001009,장도,진도군,high,shp,0.24935629279021357,장도,0,육지지배형,39.64430936844103,4.073309368441032,35.571,2.036654684220516,12.0,3,3,871091.0191699866,1607924.7315421938
469001010,관매도,진도군,high,shp,4.041212817533166,관매도,1,혼합형,67.15741087818984,39.18541087818984,27.972,19.59270543909492,44.5,180,180,866277.7275722835,1583524.2493324068
469001011,동거차도,진도군,high,shp,2.6490916067017936,동거차도,1,해상지배형,83.57688939701751,52.23438939701751,31.3425,26.117194698508754,43.7,114,114,856344.9892506988,1583841.4694313782
469001012,서거차도,진도군,high,shp,2.1396732817654986,서거차도,1,해상지배형,85.6840669987973,54.34156699879731,31.3425,27.170783499398656,46.0,98,98,853657.7971175675,1585655.5028275135
469001013,상하죽도,진도군,high,shp,0.14776936157149229,상하죽도,1,해상지배형,84.14431154473542,52.801811544735415,31.3425,26.400905772367707,41.4,11,11,855015.2059765225,1585062.7010488764
469001014,하조도,진도군,high,shp,16.89754383716501,하조도,0,혼합형,59.487226984542446,28.144726984542444,31.3425,14.072363492271222,62.0,1048,1048,867081.505961044,1590074.3205688708
469001015,대마도,진도군,high,shp,1.9319938349602876,대마도,1,혼합형,72.11575211761831,40.77325211761832,31.3425,20.38662605880916,34.7,86,86,861046.9757566793,1587167.563697233
469001016,소마도,진도군,high,shp,0.6931501656557921,소마도,1,혼합형,69.853163138132,38.51066313813201,31.3425,19.255331569066005,43.3,30,30,859867.5064102936,1590631.615859343
469001017,관사도,진도군,high,shp,0.9584230896420138,관사도,1,혼합형,68.74865672820275,37.40615672820274,31.3425,18.70307836410137,76.3,73,73,859560.5103025517,1592308.0764080405
469001018,나배도,진도군,high,shp,0.9433490319508365,나배도,1,혼합형,63.32207665723482,31.97957665723481,31.3425,15.989788328617406,57.2,54,54,862794.4541050842,1592111.6196272795
469001019,상조도,진도군,high,shp,6.677278970128557,상조도,0,혼합형,58.86486173417577,27.522361734175767,31.3425,13.761180867087884,43.5,299,299,864268.4834450796,1593981.4432926306
469001020,성남도,진도군,high,shp,0.9153965024462942,성남도,0,육지지배형,50.56273788604869,14.991737886048693,35.571,7.495868943024346,30.6,28,28,866342.2866959057,1601636.2190420844
469001021,소성남도,진도군,high,shp,0.26139741624484186,소성남도,0,육지지배형,52.2192089536896,16.648208953689597,35.571,8.324104476844798,19.1,5,5,865560.6142613667,1601295.9275559196
469001022,죽항도,진도군,high,shp,0.48610906021205164,죽항도,0,혼합형,55.570054559352926,27.598054559352928,27.972,13.799027279676464,94.6,46,46,871498.7429701709,1586689.7146830224
469001023,독거도,진도군,high,shp,0.9708549508453979,독거도,0,혼합형,53.5539507616442,25.5819507616442,27.972,12.7909753808221,30.9,30,30,878481.47370656,1585022.0821720264
469001024,슬도,진도군,high,shp,0.2097612075360615,슬도,0,혼합형,52.32169695900693,24.349696959006927,27.972,12.174848479503463,157.4,33,33,875743.554844735,1586253.2468619735
469001025,탄항도,진도군,high,shp,0.195153856841673,탄항도,0,혼합형,56.40229084722687,28.43029084722687,27.972,14.215145423613436,5.1,1,1,877991.1222930024,1583644.0895853438
469001026,혈도(독거도리),진도군,high,shp,0.10127591878666713,혈도(독거도리),0,혼합형,60.16058171446831,32.188581714468306,27.972,16.094290857234153,119.0,12,12,876835.2520799414,1581921.8465145247
469001027,청등도,진도군,high,shp,0.40663319552789084,청등도,0,혼합형,61.439057210763295,33.46705721076329,27.972,16.733528605381647,61.7,25,25,869485.3273859117,1584534.5743272223
469001028,모도(조도면),진도군,high,shp,0.23160128071130723,모도(조도면),1,혼합형,68.33007356462711,36.98757356462711,31.3425,18.49378678231356,38.9,9,9,861607.7707852517,1589452.8643819573
469001029,맹골도,진도군,high,shp,0.9955782752442108,맹골도,1,해상지배형,99.26954138686934,67.92704138686933,31.3425,33.96352069343467,95.4,95,95,848567.1979733249,1581073.0284381646
469001030,죽도(조도면),진도군,high,shp,0.2937798465165472,죽도(조도면),1,해상지배형,99.5070360904135,68.16453609041349,31.3425,34.082268045206746,136.1,40,40,847576.6421199143,1582326.1148780761
469001031,곽도,진도군,high,shp,0.17156273693414656,곽도,1,해상지배형,100.95387776948756,69.61137776948755,31.3425,34.80568888474377,134.4,23,23,848803.6322227957,1579345.9612554074
469001032,진목도,진도군,high,shp,0.4144005275377682,진목도,1,혼합형,75.69999579935546,40.12899579935546,35.571,20.06449789967773,48.3,20,20,858181.3492850657,1591944.1570319205
469001033,갈목도,진도군,high,shp,0.17455328281175533,갈목도,1,혼합형,78.03357035456125,42.46257035456125,35.571,21.231285177280625,17.2,3,3,856943.2673223225,1591537.0327597342
469001034,옥도,진도군,high,shp,1.161548022197329,옥도,1,혼합형,61.83212993865531,26.26112993865531,35.571,13.130564969327654,41.4,48,48,863825.7972278517,1596178.031767948
469001035,눌옥도,진도군,high,shp,0.598154451976083,눌옥도,1,혼합형,71.18787687700359,35.616876877003584,35.571,17.808438438501792,26.8,16,16,857696.2113876054,1595987.070757155
469001036,외병도,진도군,high,shp,0.5877933551588751,외병도,1,혼합형,70.82831397049429,35.25731397049429,35.571,17.628656985247144,39.2,23,23,856403.8420188518,1598525.4401847098
469001037,내병도,진도군,high,shp,0.8639675695086391,내병도,1,혼합형,66.09082131544734,30.51982131544735,35.571,15.259910657723674,37.3,32,32,859057.5000269081,1598580.39650688
469001038,가사도,진도군,high,shp,5.431340088970747,가사도,0,육지지배형,49.24143936920454,13.670439369204544,35.571,6.835219684602272,38.1,207,207,866882.7964977847,1610482.417122943
469001039,혈도(가사도리),진도군,high,shp,0.05089384373214603,혈도(가사도리),0,육지지배형,52.36760539482036,16.796605394820357,35.571,8.398302697410179,373.3,19,19,870383.4900951141,1614438.261657537
469001040,주지도,진도군,high,shp,0.5492635036395971,주지도,0,육지지배형,47.06660510707991,11.495605107079909,35.571,5.747802553539954,5.5,3,3,869882.4628215578,1611487.5568639562
469001041,양덕도,진도군,high,shp,0.20394411346194802,양덕도,0,육지지배형,46.70146750984196,11.13046750984196,35.571,5.56523375492098,14.7,3,3,871950.5637140544,1611807.1723616936
469001042,송도,진도군,high,shp,0.07937357851196757,송도,0,육지지배형,52.90053205810307,17.329532058103073,35.571,8.664766029051536,50.4,4,4,871153.470535751,1614845.1028773505
469001043,광대도,진도군,high,shp,0.07948526316438365,광대도,0,육지지배형,54.78413619454516,19.21313619454516,35.571,9.606568097272577,12.6,1,1,871988.39245897,1615853.0053682174
469101001,지도,신안군,high,shp,50.92798053087649,지도,0,육지지배형,50.3115,0.0,50.3115,1.7948172210382995,64.1,3459,3459,883087.0188955977,1675947.392721604
469101002,어의도,신안군,high,shp,1.8477488942442482,어의도,1,육지지배형,89.5318295845055,9.337329584505497,80.1945,4.668664792252748,43.0,80,80,880911.7513234,1683503.979410975
469101003,대포작도,신안군,low,buffer,0.5792684268392398,대포작도,1,육지지배형,62.56850753148776,4.397007531487756,58.1715,2.1985037657438777,36.2,21,21,881984.5597420797,1680822.1584865318
469101004,소포작도,신안군,medium,buffer,0.26167917041460537,소포작도,1,육지지배형,64.78793903391315,6.616439033913152,58.1715,3.308219516956576,7.6,2,2,881995.8736990617,1681973.0403034124
469101005,송도,신안군,high,shp,1.071546029657952,송도,0,육지지배형,50.9265,0.0,50.9265,0.1292014434507907,151.2,211,211,881699.7835836967,1673630.9566275536
469101006,사옥도,신안군,high,shp,12.54909842786157,사옥도,1,육지지배형,55.8045,0.0,55.8045,2.03428525083276,45.5,635,635,878246.2013044452,1672600.866455291
469101007,선도,신안군,high,shp,5.545716538254352,선도,0,육지지배형,45.13645145723408,8.07595145723408,37.0605,4.03797572861704,40.2,223,223,886698.5778567537,1666671.6265884298
469101008,압해도,신안군,high,shp,48.56457444485416,압해도,0,육지지배형,16.9755,0.0,16.9755,0.7553143414247054,111.3,5443,5443,891484.8209986235,1653032.1150141093
469101009,우간도,신안군,high,shp,0.7231240879107436,우간도,0,육지지배형,34.41837321564506,2.69487321564506,31.7235,1.34743660782253,38.8,28,28,894931.107269249,1657414.7900655232
469101010,고이도,신안군,high,shp,6.228872772451779,고이도,0,육지지배형,41.66797534241864,3.807975342418635,37.86,1.9039876712093176,33.3,208,208,888744.3429795894,1662584.596212034
469101011,매화도,신안군,high,shp,6.531338278781071,매화도,0,육지지배형,48.76074938788288,13.405749387882873,35.355000000000004,6.702874693941436,27.3,179,179,884582.8437753909,1659558.944980963
469101012,마산도,신안군,low,buffer,1.5378268835927666,마산도,0,육지지배형,48.75713779913684,10.897137799136834,37.86,5.448568899568417,37.0,57,57,884955.2125316411,1662464.6484067563
469101013,황마도,신안군,low,buffer,0.24929907994097203,황마도,0,육지지배형,46.767512616250144,8.907512616250145,37.86,4.453756308125072,28.0,7,7,886158.2245231024,1661991.2166992994
469101014,가란도,신안군,high,shp,1.391407035353137,가란도,0,육지지배형,12.081,0.0,12.081,2.8419983302286145,76.2,106,106,896412.482188452,1653590.4782830763
469101015,증도,신안군,high,shp,26.447312662962755,증도,1,육지지배형,70.30799999999999,0.0,70.30799999999999,2.823902391972388,50.7,1346,1346,876431.3357604872,1667421.920400998
469101016,화도,신안군,high,shp,0.6321915888542844,화도,1,육지지배형,70.30799999999999,0.0,70.30799999999999,4.850446076532788,112.7,71,71,877829.4260485125,1662612.2422670317
469101017,병풍도,신안군,high,shp,3.001297449966644,병풍도,1,육지지배형,78.27580308452194,7.967803084521947,70.30799999999999,3.983901542260973,72.4,219,219,882119.6733669845,1664486.5879306102
469101018,대기점도,신안군,high,shp,1.522883437588218,대기점도,1,육지지배형,82.04100154446262,11.73300154446262,70.30799999999999,5.86650077223131,28.3,43,43,881379.4814077122,1661783.6355550697
469101019,소기점도,신안군,high,shp,0.5540241975381655,소기점도,1,육지지배형,84.5292502075632,14.221250207563196,70.30799999999999,7.110625103781597,27.1,15,15,881442.396720387,1660485.80115705
469101020,소악도,신안군,high,shp,0.33020320294783534,소악도,1,육지지배형,85.68234420399874,15.374344203998746,70.30799999999999,7.687172101999372,36.4,12,12,880827.441266926,1659726.417477348
