섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
468001002,노력도,장흥군,0,육지지배형,152,48.1,48.1,0.0
468201001,상마도,해남군,0,육지지배형,105,43.3,43.3,0.0
468101001,가우도,강진군,0,육지지배형,41,23.1,23.1,0.0
468201003,하마도,해남군,0,육지지배형,60,42.3,42.3,0.0
467701017,우도,고흥군,0,육지지배형,77,21.0,21.0,0.0
467701018,백일도,고흥군,0,육지지배형,198,35.1,35.1,0.0
468201002,중마도,해남군,0,육지지배형,46,42.8,42.8,0.0
467701019,옥금도,고흥군,0,육지지배형,21,28.8,28.8,0.0
469101014,가란도,신안군,0,육지지배형,106,12.1,12.1,0.0
469101005,송도,신안군,0,육지지배형,211,50.9,50.9,0.0
469101007,선도,신안군,0,육지지배형,223,45.1,45.1,0.0
469101026,비금도,신안군,1,섬내자립형,3476,10.0,10.0,0.0
467801002,해도,보성군,0,육지지배형,29,18.8,18.8,0.0
467801003,지주도,보성군,0,육지지배형,20,18.1,18.1,0.0
469101012,마산도,신안군,0,육지지배형,57,48.8,48.8,0.0
469001039,혈도(가사도리),진도군,0,육지지배형,19,52.4,52.4,0.0
469001038,가사도,진도군,0,육지지배형,207,49.2,49.2,0.0
469101009,우간도,신안군,0,육지지배형,28,34.4,34.4,0.0
469101008,압해도,신안군,0,육지지배형,5443,17.0,17.0,0.0
467701021,진지도,고흥군,0,육지지배형,6,34.2,34.2,0.0
467701022,대옥대도,고흥군,0,육지지배형,1,38.5,38.5,0.0
467701020,원주도,고흥군,0,육지지배형,51,37.2,37.2,0.0
469001043,광대도,진도군,0,육지지배형,1,54.8,54.8,0.0
469101001,지도,신안군,0,육지지배형,3459,50.3,50.3,0.0
469001041,양덕도,진도군,0,육지지배형,3,46.7,46.7,0.0
469001042,송도,진도군,0,육지지배형,4,52.9,52.9,0.0
469101078,외안도,신안군,0,육지지배형,2,18.3,18.3,0.0
469101080,용출도,신안군,0,혼합형,2,8.9,8.9,0.0
469101071,암태도,신안군,1,섬내자립형,1610,50.1,50.1,0.0
461101002,율도,목포시,0,혼합형,174,11.4,11.4,0.0
